,x3,y3,x4,y4
116,2.0,10,0.0,12
117,2.0,10,0.0,12
118,2.0,10,0.0,11
119,2.0,10,0.0,11
120,2.0,10,0.0,11
121,2.0,10,0.0,11
122,2.0,10,0.0,11
123,2.0,10,0.0,11
124,2.0,10,0.0,11
125,2.0,10,0.0,11
126,2.0,10,0.0,11
127,2.0,10,0.0,11
128,2.0,10,0.0,11
129,2.0,10,0.0,11
130,2.0,10,0.0,11
131,2.0,10,0.0,11
132,2.0,9,0.0,11
133,2.0,9,0.0,11
134,2.0,9,0.0,11
135,2.0,9,0.0,11
136,2.0,9,0.0,11
137,2.0,9,0.0,11
138,2.0,9,0.0,10
139,2.0,9,0.0,10
140,2.0,9,0.0,10
141,2.0,9,0.0,10
142,2.0,9,0.0,10
143,2.0,9,0.0,10
144,2.0,9,0.0,10
145,2.0,9,0.0,10
146,2.0,9,0.0,10
147,2.0,9,0.0,10
148,2.0,9,0.0,10
149,2.0,9,0.0,10
150,2.0,9,0.0,10
151,2.0,9,0.0,10
152,2.0,9,2.0,10
153,2.0,9,2.0,10
154,2.0,9,2.0,10
155,2.0,9,2.0,10
156,2.0,9,2.0,10
157,2.0,9,2.0,10
158,2.0,9,2.0,10
159,2.0,9,2.0,10
160,2.0,9,2.0,10
161,2.0,9,2.0,10
162,2.0,9,2.0,10
163,2.0,8,2.0,10
164,2.0,8,2.0,10
165,2.0,8,2.0,9
166,2.0,8,2.0,9
167,2.0,8,2.0,9
168,2.0,8,2.0,9
169,2.0,8,2.0,9
170,2.0,8,2.0,9
171,2.0,8,2.0,9
172,2.0,8,2.0,9
173,2.0,8,2.0,9
174,2.0,8,2.0,9
175,2.0,8,2.0,9
176,2.0,8,2.0,9
177,2.0,8,2.0,9
178,2.0,8,2.0,9
179,2.0,8,2.0,9
180,2.0,8,2.0,9
181,2.0,8,2.0,9
182,2.0,8,2.0,9
183,2.0,8,2.0,9
184,2.0,8,2.0,9
185,2.0,8,2.0,9
186,2.0,8,2.0,9
187,2.0,8,2.0,9
188,2.0,8,2.0,9
189,2.0,8,2.0,9
190,2.0,8,2.0,9
191,2.0,8,2.0,9
192,2.0,8,2.0,9
193,2.0,8,2.0,9
194,2.0,8,2.0,9
195,2.0,8,2.0,9
196,2.0,8,2.0,9
197,2.0,8,2.0,9
198,2.0,8,2.0,8
199,2.0,8,2.0,8
200,2.0,8,2.0,8
201,2.0,8,2.0,8
202,2.0,8,2.0,8
203,2.0,8,2.0,8
204,2.0,8,2.0,8
205,2.0,8,2.0,8
206,2.0,8,2.0,8
207,2.0,7,2.0,8
208,2.0,7,2.0,8
209,2.0,7,2.0,8
210,2.0,7,2.0,8
211,2.0,7,2.0,8
212,2.0,7,2.0,8
213,2.0,7,2.0,8
214,2.0,7,2.0,8
215,2.0,7,2.0,8
216,2.0,7,2.0,8
217,2.0,7,2.0,8
218,2.0,7,2.0,8
219,2.0,7,2.0,8
220,2.0,7,2.0,8
221,2.0,7,2.0,8
222,2.0,7,2.0,8
223,2.0,7,2.0,8
224,2.0,7,2.0,8
225,2.0,7,2.0,8
226,2.0,7,2.0,8
227,2.0,7,2.0,8
228,2.0,7,2.0,8
229,2.0,7,2.0,8
230,2.0,7,2.0,8
231,2.0,7,2.0,8
232,2.0,7,2.0,8
233,2.0,7,2.0,8
234,2.0,7,2.0,8
235,2.0,7,2.0,8
236,2.0,7,2.0,8
237,2.0,7,2.0,8
238,2.0,7,2.0,8
239,2.0,7,2.0,8
240,2.0,7,2.0,8
241,2.0,7,2.0,8
242,2.0,7,2.0,8
243,2.0,7,2.0,8
244,2.0,7,2.0,7
245,2.0,7,2.0,7
246,2.0,7,2.0,7
247,2.0,7,2.0,7
248,2.0,7,2.0,7
249,2.0,7,2.0,7
250,2.0,7,2.0,7
251,2.0,7,2.0,7
252,2.0,7,2.0,7
253,2.0,7,2.0,7
254,2.0,7,2.0,7
255,2.0,7,2.0,7
256,2.0,7,2.0,7
257,2.0,7,2.0,7
258,2.0,7,2.0,7
259,2.0,7,2.0,7
260,2.0,7,2.0,7
261,2.0,7,2.0,7
262,2.0,7,2.0,7
263,2.0,7,2.0,7
264,2.0,7,2.0,7
265,2.0,7,2.0,7
266,2.0,7,2.0,7
267,2.0,7,2.0,7
268,2.0,7,2.0,7
269,2.0,7,2.0,7
270,2.0,7,2.0,7
271,2.0,7,2.0,7
272,2.0,7,2.0,7
273,2.0,6,2.0,7
274,2.0,6,2.0,7
275,2.0,6,2.0,7
276,2.0,6,2.0,7
277,2.0,6,2.0,7
278,2.0,6,2.0,7
279,2.0,6,2.0,7
280,2.0,6,2.0,7
281,2.0,6,2.0,7
282,2.0,6,2.0,7
283,2.0,6,2.0,7
284,2.0,6,2.0,7
285,2.0,6,2.0,7
286,2.0,6,2.0,7
287,2.0,6,2.0,7
288,2.0,6,2.0,7
289,2.0,6,2.0,7
290,2.0,6,2.0,7
291,2.0,6,2.0,7
292,2.0,6,2.0,7
293,2.0,6,2.0,7
294,2.0,6,2.0,7
295,2.0,6,2.0,7
296,2.0,6,2.0,7
297,2.0,6,2.0,7
298,2.0,6,2.0,7
299,2.0,6,2.0,7
